weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
ACE32,42,0.024,0.0,54.35,54.35,54.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,JaredgAlsopcpa
Kar98k,12,0.25,0.0,127.81333333333333,74.64,211.5,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Aufang
M416,36,0.139,0.7368421052631579,2.2047368421052633,1.62,2.99,0.0,0.0,17.0,0.0,2.0,0.0,0.0,Aufang
ACE32,35,0.029,0.8,4.434,2.2,13.19,0.0,0.0,3.0,1.0,1.0,0.0,0.0,T--s---69
M249,45,0.267,0.5,5.4937499999999995,0.74,26.88,0.0,0.0,10.0,4.0,3.0,7.0,0.0,WangTieZhu2
ACE32,20,0.1,0.3333333333333333,37.97,37.94,38.03,0.0,0.0,3.0,0.0,0.0,0.0,0.0,cute_hyogun7177
ACE32,3,0.333,0.0,115.46,115.46,115.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1JbHt8nZWP
AUG,56,0.179,0.16666666666666666,33.8075,16.29,53.06,2.0,0.0,7.0,1.0,1.0,1.0,0.0,1JbHt8nZWP
Micro UZI,167,0.12,0.375,11.875937500000001,3.04,41.7,0.0,0.0,21.0,8.0,1.0,2.0,0.0,1JbHt8nZWP
MP5K,42,0.071,0.625,8.16,6.27,18.58,1.0,0.0,7.0,0.0,0.0,0.0,0.0,handuner
AKM,126,0.143,0.14285714285714285,21.821428571428573,12.28,33.7,4.0,0.0,13.0,1.0,1.0,2.0,0.0,lPeQ08JXk
Frag Grenade,5,0.4,0.0,41.315,35.27,47.36,0.0,0.0,0.0,0.0,0.0,0.0,2.0,lPeQ08JXk
M24,2,0.5,0.5,120.215,97.31,143.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,lPeQ08JXk
Beryl M762,28,0.036,0.0,75.55,75.55,75.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,J-J20CM
AUG,58,0.086,0.7058823529411765,8.091764705882353,5.4,40.75,4.0,0.0,11.0,0.0,1.0,1.0,0.0,yangcunmilange
M16A4,11,0.273,0.0,67.08666666666666,62.78,69.55,0.0,0.0,2.0,0.0,1.0,0.0,0.0,oo_yo_
M416,16,0.062,0.0,23.36,23.36,23.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oo_yo_
AKM,27,0.111,0.7857142857142857,3.6700000000000004,3.46,3.81,0.0,0.0,10.0,0.0,2.0,2.0,0.0,ypc_carryu
Vector,30,0.2,0.0,6.156666666666666,4.51,11.07,0.0,0.0,1.0,1.0,1.0,3.0,0.0,ypc_carryu
AUG,50,0.14,0.2222222222222222,29.393333333333334,28.31,31.98,1.0,0.0,7.0,0.0,0.0,1.0,0.0,xihuanfengma123
M24,1,1.0,0.0,50.34,50.34,50.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,xihuanfengma123
Frag Grenade,6,0.333,0.0,31.195,16.22,46.17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,cjcx
