,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,차원의 가보,압수됨!,휴대용 이상 현상
문도 박사,1,93,1579,53,1,16,1843,16,10,395,4,496,76,20,25,148,37,9,1,11,636,22,9,15,26,0,44,35,11,66,31,36,26,14,2026,2411,30,2,30,3412,8,137,2709,5,0,151,4,0,2,0,1,15,6,3,0,4,4,7,36,1,3,1,0,0,0,0,1,0,0,0,28,3,16,19,0,3,0,35,6,0,48,0,1,0,42,8,0,0,669,3,549,5,841,9,75,3,18,0,272,1,28,1,4,1,7,0,0,13,0,2,7,0,0,0,0,0,3,0,45,0,1,0,1,1,0,0,45,4,31,4,2,4,218,113,0,1,5,3,6,5,47,4,0,1244,2,18,11,27,7,25,0,9,8,0,4,0,0,1,0,0,0,0,11,8,0,0,0,0,11,8,0,0,2,0,0,0,0,0,0,2,0,0,0,2
트위치,21,11,0,0,16,736,0,0,71,38,3,2,0,398,26,7371,39,163,0,4573,0,11,1346,2,3,0,83,60,6,2,253,1,1893,27,0,0,638,14,36,0,1,2,6,11,2,0,0,634,2,0,12,0,0,2,0,0,6,0,0,8,0,0,0,0,293,2,17,0,0,0,0,41,0,0,7,0,0,0,0,0,0,69,0,2,0,0,0,66,0,0,0,0,0,0,4,0,30,0,2,0,13,0,0,0,3,54,3,0,0,0,0,2,29,0,0,1,0,24,0,0,0,0,0,0,10,0,0,0,0,0,4,2,1,2,0,0,19,2,37,12,4,2,0,5,2,113,0,13,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
아칼리,15,2336,17,14,14,5,12,14,40,205,2,13,10,128,269,111,1675,53,6,20,242,2171,14,4,32,0,106,12,14,1,169,142,22,21,27,20,20,3,28,6,16,1736,25,16,1,2,52,8,59,2,0,19,40,6,45,4,8,4,2,2,45,0,32,2,0,0,0,0,5,4,0,0,19,0,0,6,0,2,30,2,0,0,6,2,4,0,7,2,20,0,232,14,5,2,35,1,39,0,32,0,40,0,6,8,4,5,0,2,0,10,0,1,0,0,0,15,1,1,0,9,1,6,11,0,14,3,0,50,0,0,7,0,7,2,0,0,3,0,34,5,98,3,0,0,0,3,0,3,0,4,3,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
세트,8,38,151,64,5,30,115,8,15,237,1,145,63,22,10,22,34,21,1,19,366,17,13,38,23,1,6,16,10,40,21,19,12,4,363,268,25,1,13,210,20,46,266,10,6,17,0,0,3,0,1,56,0,2,1,1,0,0,2,0,2,0,0,1,1,0,0,0,0,2,3,1,6,9,0,0,0,10,0,0,7,0,19,2,0,3,0,0,131,2,46,1,81,8,41,0,13,0,62,0,12,0,27,17,33,0,2,1,3,4,9,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,1,0,8,1,5,5,2,2,29,2,6,0,11,2,22,3,0,0,84,9,22,2,3,7,4,121,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
이즈리얼,92,27,13,7,43,383,6,40,142,248,2,9,8,319,44,560,159,106,20,1110,9,38,824,0,23,3,56,102,20,2,301,17,464,98,15,10,1188,480,542,2,39,22,8,69,6,0,0,48,15,6,20,52,0,7,0,0,2,0,3,6,0,0,0,0,7,2,2,0,1,2,0,2,4,0,6,10,13,0,0,2,1,7,0,68,0,0,0,7,13,0,2,3,13,0,28,0,85,0,53,0,128,0,0,4,44,32,36,15,63,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,14,0,4,39,1,15,0,13,24,1,0,9,2,13,0,26,10,3,4,4,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
일라오이,14,121,2932,157,15,9,3134,36,19,682,9,744,301,21,66,70,47,49,9,30,2600,27,14,32,16,0,59,83,25,133,36,71,41,12,4243,2489,28,3,17,5036,39,144,5231,14,7,220,7,0,4,0,2,37,0,2,0,2,0,15,38,1,0,18,0,0,1,2,1,0,1,0,35,0,14,6,0,0,0,56,0,0,63,0,20,1,119,33,0,0,875,23,950,5,1677,16,88,0,44,1,353,6,24,0,42,20,19,0,2,8,14,8,3,0,0,1,0,3,1,0,73,0,0,0,0,0,0,0,185,4,68,0,8,10,23,8,19,1,32,0,64,21,50,353,25,31,63,19,334,3,163,34,2,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,11
드레이븐,6,2,0,0,10,135,0,4,85,25,5,0,0,77,17,1143,37,49,3,437,11,4,518,1,0,0,25,12,14,0,57,3,66,17,3,1,144,20,96,2,8,7,0,10,4,0,0,43,9,2,1,30,0,0,0,0,2,0,0,6,0,0,0,0,9,0,7,0,0,0,0,0,0,0,3,0,8,0,0,0,0,2,10,16,0,0,0,21,0,0,1,0,2,0,6,0,1,0,3,0,12,0,1,2,3,7,9,3,15,0,0,0,25,0,0,4,0,4,0,2,0,0,2,0,6,1,0,0,0,0,39,1,5,0,1,218,0,3,10,0,1,0,18,0,9,14,0,0,2,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
렐,48,226,771,200,31,52,945,148,50,1699,32,369,216,73,80,135,118,102,6,71,1603,57,61,105,78,14,92,77,49,179,73,89,91,68,1512,1224,106,8,86,2134,51,159,1461,20,11,49,3,0,0,0,0,225,3,2,4,26,0,17,16,0,2,0,0,0,0,0,0,0,0,4,17,0,19,9,2,0,4,52,2,2,19,0,64,0,38,11,0,0,370,4,704,27,920,10,236,0,73,0,256,1,110,0,53,94,22,0,1,10,6,15,29,0,0,3,1,2,104,0,50,0,2,0,0,0,0,0,63,6,36,3,17,56,132,35,35,17,21,78,32,0,63,157,6,39,63,50,0,23,20,17,6,0,14,16,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,12
카시오페아,22,0,1,1,13,6,2,10,28,43,6,0,6,72,6,83,6,44,15,8,2,219,6,0,30,5,13,46,27,0,30,57,65,34,10,5,13,181,168,0,29,2,0,15,12,0,0,1,0,6,10,17,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,3,0,0,0,0,0,2,18,0,1,1,0,0,11,13,0,0,5,1,1,0,7,0,2,0,1,0,192,4,34,0,170,4,1,2,2,7,11,1,35,2,0,0,8,0,0,1,0,0,0,1,0,0,0,0,3,13,0,0,1,0,38,5,0,0,7,0,4,7,2,11,2,1,0,0,2,5,15,0,3,97,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
블라디미르,10,210,231,149,15,30,250,34,29,785,27,170,114,51,58,769,63,411,1,25,413,52,35,90,634,4,64,54,41,102,72,61,44,22,398,263,41,35,50,475,26,81,265,2,8,8,11,0,0,2,0,111,3,0,10,51,0,12,24,1,1,3,0,3,17,11,0,0,0,2,44,0,10,5,0,0,0,50,2,18,5,0,64,0,14,8,0,0,118,14,200,15,229,14,81,0,40,0,143,18,100,9,28,45,3,5,0,2,0,17,17,3,0,0,0,1,2,0,19,2,0,0,0,0,2,0,12,3,2,6,22,33,0,2,21,32,111,16,15,35,29,6,5,42,3,5,9,13,10,0,15,31,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
