user_name,user_zloa_score,user_damage
요둘뽀삐,2653.36,4.14
천방지축어리둥절디붕디붕,2356.87,31.72
줌섬,2471.98,34.25
상곤상,2614.04,34.24
뚜기,2357.07,29.26
뚝배기퍼스,2275.78,24.9
고로케빵이다,2325.25,31.11
대지뿌셔,2346.54,29.42
능티,2372.69,31.7
티투로이뚜,2344.9,32.65
복기,2333.47,32.16
동끄,2404.08,32.25
백천도,2277.9,27.5
프레션,2213.54,28.4
쿵깃,2168.85,28.02
전남남친있어요,2373.57,5.47
섹시쾌남김디붕,2504.78,32.14
깡보살,2079.94,26.12
자비스01호,2360.67,18.02
디붕이응앵,2443.11,32.65
비빔돈가스냉면,2264.09,29.15
류크,2301.16,26.53
너구리사랑11,1927.94,24.69
진한초콜릿피부,2193.78,31.36
하떼림,2106.1,28.83
디스트로트,2480.73,27.97
유톡입니다,2339.93,31.94
남자의캐릭터디트,2332.04,27.22
Mr투팍,2374.8,25.6
장도리망치,2503.1,33.66
댱근댱,2272.24,31.79
러브앤토르릉z,2448.88,32.84
동익손,2257.7,30.36
살색몽둥이,2232.86,25.2
가정용돌망치,2375.47,32.81
손감템자,2415.46,29.72
포모스,2311.67,24.68
아무도예상못한녹황색사회,2292.13,5.73
김충환,2298.96,31.9
순팡,2403.83,28.51
후평동돈까스달인,2129.37,17.4
프로의심러셜록,2171.13,26.23
약수터정수기,2301.96,29.04
망지승,2424.45,32.58
망치만한것,2119.07,24.52
빈둥빈둥비버,2387.74,31.11
호에엥,2234.1,30.42
바르가스트,2330.36,29.0
진압부장관,2340.21,32.44
백두산곰대장,2372.36,31.38
원할머니네치즈돈까스,2526.36,27.52
노가다판에이스박망치,2441.94,32.75
25도씨소나기,2305.19,32.04
은돼랑,2131.93,29.57
디구로,2257.92,30.28
신튼튼,2223.06,25.15
마님의돌쇠,2130.59,28.03
귀여운오리망치,2237.0,28.29
땅꾸니,2259.71,25.28
김초꼬,2063.04,23.27
이오시프스탈린3세,2361.96,31.81
중디맨,2226.08,26.42
아나머지,2082.77,27.17
응삼이,2003.82,28.1
디제블,2407.08,33.39
물망치,2166.27,28.84
수틀리면망치부터나감,2231.25,30.15
DITH,2152.14,27.65
도깨비빤스는더러워요,2122.8,30.07
디트새털,2182.9,23.36
안빼는망치,2318.04,31.84
망치가뭐죠,2229.29,26.79
미로씌,2291.26,31.19
현킴,2095.14,26.63
혁명좀,2180.12,2.31
충동적인망치질,2267.62,22.34
자운파,2229.72,8.03
극마탑,2128.56,28.21
안참참,2268.36,27.63
반짝디트,2148.31,28.99
검은나라보았니,2145.82,32.14
개강한부엉이,2006.46,27.93
샤겨,2273.37,20.63
식빵분쇄기,2220.31,28.51
호복,1999.28,27.22
망치돈,2308.03,30.48
법동뿅망치,2409.24,33.34
폭콤,2343.97,29.83
초승민,2279.69,31.27
결국망치를꺼내버린승현,1875.66,22.71
내손땐지오래됫다니까,2061.51,10.99
으꺤다,2207.28,24.55
밍갱스터,2175.31,19.39
김민뀨,2107.87,29.74
삐꺄쿵,2146.86,8.91
디뜨묵,2348.73,32.88
쮸바디붕,2011.41,25.39
Wartroyer,2091.05,26.99
안산산적,2094.96,27.48
광기의인생한방,2396.2,33.59
반숙이좋아요,2247.65,7.75
선없는충전기,2381.58,32.9
망치2트,2284.87,29.97
생강왕자,2162.47,29.8
망치글,2330.49,25.0
태풍18호,2229.83,29.61
2직1반,2448.95,29.27
2번디트,2318.66,26.8
3번디트,2304.45,11.97
OB라거,2192.49,30.23
양파맛망치절임,2142.23,27.55
얌얌우는양,2109.19,29.08
박현호,2292.28,30.48
금연중인사람,2094.17,26.96
줍디트,2077.63,28.54
망균치,2014.86,28.32
뚝딲,2053.72,24.53
영웅아서,2253.27,25.0
흑천붕,2237.34,26.4
simple5,1863.16,21.42
흥부재엽,2307.83,31.29
디트님이나가주세요,2415.39,31.0
뚜시뚜시큥큥,2087.3,28.64
가영냥이,2232.63,30.54
l홍삼l,2102.81,24.0
새뜻새마음,2337.73,32.06
땅콩고구마,2407.3,30.06
착해진뚝이,2356.62,31.06
군단장뚝배기슬레이어,2113.23,28.94
굵은손,2217.67,28.47
디트가미래다,2433.58,4.02
감거,2327.8,5.39
뿌낑,2416.09,32.04
븜중기,2103.56,2.17
디붕힁,2370.1,32.85
치킨요원,2172.54,28.27
잼민이들뚝배기를뚜쉬뚜쉬,2126.84,24.8
대황붕,2271.16,26.24
Croch,2225.08,30.51
머리에꿀발라놨네,2151.62,29.31
헿복,2273.69,32.4
기무재환,2160.12,30.03
