user_name,user_damage
반숙이좋아요,7.75
선없는충전기,32.9
망치2트,29.97
생강왕자,29.8
망치글,25.0
태풍18호,29.61
2직1반,29.27
2번디트,26.8
3번디트,11.97
OB라거,30.23
양파맛망치절임,27.55
얌얌우는양,29.08
박현호,30.48
극마탑,28.21
흑천붕,26.4
흥부재엽,31.29
디트님이나가주세요,31.0
뚜시뚜시큥큥,28.64
가영냥이,30.54
태연A,31.2
l홍삼l,24.0
새뜻새마음,32.06
땅콩고구마,30.06
착해진뚝이,31.06
군단장뚝배기슬레이어,28.94
굵은손,28.47
디트가미래다,4.02
감거,5.39
뿌낑,32.04
나완전정상이야,16.38
븜중기,2.17
디붕힁,32.85
디스트로트,27.97
치킨요원,28.27
잼민이들뚝배기를뚜쉬뚜쉬,24.8
대황붕,26.24
Croch,30.51
머리에꿀발라놨네,29.31
헿복,32.4
기무재환,30.03
디붕마초,27.2
찌개,31.6
퍼수,27.74
공쨔,29.63
숨겨진마음,25.47
돈까스집17년차접시닦이,18.0
트라제,2.94
놀러나온드워프,2.15
오소동오함마,26.94
나랑슈퍼노바할래,27.52
국산핵망치,24.88
뜀빠,25.75
가슴이시키는무지성망치맨,26.97
네브라디스크,22.11
리치포니아,28.68
형근2망치,32.55
가난한루브,6.21
판다뽕따,26.59
뱁버드,24.73
Zeby,28.54
니프트,22.72
뛰붕디붕,26.63
디준붕,22.37
못나라망치공주,26.62
fourback,29.34
아앙마려움,29.95
빵동이,15.48
파괴베어,25.1
영웅아서,25.0
바키범,28.74
세계제일용사,31.14
다훈투르,23.45
디트뿡빵맨,26.07
퍼스맞췄냥,4.96
25도씨소나기,32.04
디끙이,28.59
문맹이,26.26
당당따당,26.25
남자다움,27.05
개아야,25.39
빵갬뽀,32.61
역쟁,29.07
simple5,21.42
금강디붕쿤,25.85
러쉬킹,34.29
불국사삼겹살킬러,28.27
떼띠지민,24.18
담선,28.51
장작패기,26.24
박흥식,29.04
체리콕사이즈업,29.55
망칭,3.68
더원립톡,23.24
타르타르해머,7.87
하얀맹치,23.82
오늘도광대는모코코다,24.18
지구함마,27.33
신디붕,30.6
킴허찌,28.33
달달한주니,32.58
무력전문망치,14.64
식빵분쇄기,28.51
골드모아틀니,20.78
정령미,20.46
K하스,7.75
HAMSYS,29.31
디히스,32.58
민둥산해머,30.97
헤비한친구,24.7
두리안망치,2.44
아나볼릭디트로이더,29.13
HoneyHammer,9.31
혁신핵망치,22.45
강애붕,30.42
베르온스,25.55
수수수수퍼망치,25.47
백두루미,17.12
째스기,26.66
엄착토,5.01
통수치기,28.16
산이,29.18
중국집단무지도둑해던,31.23
양형v,29.38
변태성,3.04
언제가는,30.13
망치헤으응,30.15
니머리를망치로뚝딱,27.25
망치에이스,8.41
양준식,5.52
청소기,29.12
쁘띠쁘띠김디붕,28.57
1차기기냉각해수펌프,26.61
크림우동그랑땡,30.38
첨단인,25.32
활화격,30.31
닉값맨,29.09
핫핑크슈가보이,5.93
디수그리스도,29.97
디트공주,17.22
묵은지방어배꼽살,25.29
빛이나는망치,28.63
아디트는못참지,26.18
짓밟아버리자,24.9
기부전사,27.94
라라크래프트,11.14
금연중인사람,26.96
아니내망치왜이래,29.71
물탱망치,4.44
햄머박홍규,24.36
ISH,27.51
호크보다디트,27.19
디뚜,27.76
하리보망치,30.22
디트불망치,30.78
Hellweapon,30.17
85세김춘복의마지막여정,4.07
뇌가손상된사람,29.12
노가다,5.51
디붕이그렇게하는거아닌데,29.1
디붕주의보,5.18
잇킹,25.88
오함마로대가리뽀사벌라,25.8
연돈수석주방장,26.21
줍디트,28.54
삿댐,31.81
쿵떡총이,23.88
김호영규,27.27
박천형,25.29
든든푸들,27.48
대장디붕,30.55
난는디트당,27.33
다녜모,27.75
란초여디트출시기원,26.31
망치뚜까뚜까,2.46
그레이헤임,26.33
원량한붕,25.38
별빛보는현이,26.09
곰곰해,28.98
비비빅인절미,25.81
퍼스D,30.56
남자는돈까스좋아해,25.33
