,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,압수됨!,휴대용 이상 현상
엘리스,1,34,102,38,8,7,113,4,1,208,2,409,35,11,22,20,12,15,1,10,95,48,7,6,29,2,20,40,15,23,11,21,27,4,222,122,15,56,14,163,31,24,176,2,1,4,2,0,0,4,0,1,1,0,1,2,0,0,2,0,1,3,3,1,0,0,0,0,0,0,2,0,3,1,1,1,2,4,0,0,3,0,6,0,9,11,1,0,90,2,147,0,59,1,25,0,19,0,143,0,23,0,3,4,4,0,0,1,0,2,0,0,0,3,13,0,0,0,3,1,0,0,0,0,0,0,5,0,1,2,0,0,0,4,75,4,8,11,5,5,4,3,1,0,0,2,4,7,48,184,4,16,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
르블랑,11,15,1,0,16,8,7,22,68,147,1,2,1,381,36,324,52,221,15,27,5,1017,13,0,323,1,77,266,47,0,303,310,572,50,1,7,13,1226,545,3,47,7,7,7,3,0,0,5,3,16,13,0,6,1,0,0,7,0,0,0,1,0,11,0,4,3,0,8,0,5,0,13,5,1,0,23,11,0,0,13,0,0,1,8,2,4,17,13,2,0,8,0,8,0,12,0,122,0,379,4,551,5,0,0,9,20,6,1,8,0,0,2,0,0,0,0,0,0,0,5,0,0,0,13,6,4,0,0,0,0,2,0,0,0,4,1,2,52,3,42,4,3,3,2,6,1,25,2,1,0,2,1,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
하이머딩거,0,8,0,0,0,1,1,0,46,21,0,2,0,213,6,71,42,582,5,12,2,863,0,0,1752,0,9,62,9,0,262,350,173,4,0,1,3,953,92,1,7,3,2,2,1,0,0,3,1,49,3,1,16,3,0,0,3,0,0,0,0,0,6,0,0,12,0,1,0,1,0,2,0,0,1,14,2,0,0,53,0,0,0,0,0,0,12,7,0,0,3,0,2,0,1,0,1213,17,273,5,667,5,0,0,1,3,1,0,2,0,0,2,1,0,0,0,0,0,0,5,0,0,0,16,8,12,0,2,0,0,0,1,4,1,0,0,0,25,0,0,1,0,5,0,1,0,0,0,1,5,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
제이스,37,222,56,23,16,531,58,30,99,289,3,68,19,470,83,625,239,127,4,2251,36,28,747,5,19,0,74,62,11,16,524,14,348,40,67,71,254,882,117,65,33,135,91,15,6,3,7,116,11,9,7,4,0,6,4,0,8,2,3,16,2,1,1,4,11,1,9,1,3,1,2,4,12,0,4,16,1,1,2,0,1,37,0,6,10,2,0,22,39,1,39,0,47,1,158,5,103,2,95,1,116,0,4,3,4,8,5,1,12,1,1,1,13,2,1,3,1,3,0,0,4,3,1,0,3,0,1,0,2,1,6,1,30,6,51,4,9,59,34,210,7,0,15,23,6,57,17,41,76,51,29,105,2,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
트런들,41,132,45,688,40,0,36,2,14,29,6,26,420,1,3,43,25,0,3,5,92,2,2,15,2,5,51,2,50,415,3,1,4,57,229,60,1,2,2,73,98,112,66,7,0,8,1,0,3,0,0,14,0,0,4,2,1,0,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,7,5,0,1,0,17,2,2,0,0,1,83,3,20,0,15,0,65,3,2,0,14,0,2,0,5,7,5,0,0,1,0,2,5,0,1,0,0,2,3,0,0,0,0,1,1,0,0,0,3,0,1,0,14,0,17,12,15,19,24,13,18,10,17,15,4,0,6,10,11,12,0,2,1,13,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
직스,22,4,1,21,29,2,1,0,17,13,1,2,36,20,1,25,10,12,3,5,3,101,4,1,19,1,8,28,128,53,14,20,60,56,1,1,4,161,45,0,128,1,1,7,5,0,0,0,1,4,1,9,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,2,1,2,0,1,0,0,0,6,1,0,0,0,0,0,1,8,0,0,2,2,1,0,6,0,1,0,2,0,18,0,13,2,85,2,0,1,2,2,4,1,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,1,5,0,41,2,3,6,5,3,1,3,1,3,10,4,5,8,2,5,0,3,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
럼블,133,1558,117,366,234,26,143,28,38,457,1,261,289,280,234,51,1266,222,6,30,1256,1430,20,11,189,10,79,91,827,425,266,661,60,173,159,189,25,26,30,116,638,689,324,6,4,6,30,3,32,10,2,4,52,4,16,16,9,1,4,2,26,1,6,4,1,2,3,2,0,11,4,0,28,3,1,2,2,6,3,1,5,0,1,0,43,12,3,3,114,0,1502,28,149,1,65,2,67,2,353,7,99,2,8,3,3,0,1,6,1,1,1,1,1,11,0,7,3,0,11,4,0,2,3,2,6,0,10,28,3,4,5,1,9,49,22,12,139,437,366,118,25,261,265,24,13,17,65,63,0,86,6,0,12,35,2,0,0,1,2,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,10
스미치,7,996,9,6,15,30,6,12,18,130,0,4,4,42,418,22,1223,26,0,101,17,7,36,3,11,0,52,7,0,6,32,10,16,7,13,6,27,2,12,6,1,836,15,7,0,0,24,30,40,0,1,5,1,1,18,1,4,0,0,1,53,0,0,16,0,1,1,1,1,0,3,0,10,0,1,0,0,0,10,1,0,3,0,0,8,0,0,0,19,1,3,1,4,0,423,8,7,1,10,0,13,0,1,1,4,0,0,3,0,0,0,0,4,9,0,22,0,3,0,1,8,68,15,0,0,0,0,0,0,0,2,1,2,0,5,2,71,2,14,2,0,2,0,2,4,0,0,4,13,0,0,2,2,1,6,63,60,1,2,2,24,16,1,0,0,0,133,127,3,3,1,2,2,1,0,28,44,3,14,3,5,0,9
세비카,12,623,24,15,6,48,40,28,10,244,2,82,22,52,392,39,463,48,2,82,29,16,51,4,12,1,121,16,3,12,57,21,23,9,72,41,31,11,10,32,16,421,61,8,1,5,12,4,19,1,0,12,8,0,11,0,2,0,0,2,6,4,1,9,0,2,2,1,3,0,1,0,12,1,1,0,0,2,4,1,2,2,1,0,18,2,0,20,70,2,33,0,27,1,432,5,43,1,42,0,20,0,3,0,3,1,0,4,1,0,0,2,9,9,0,3,0,7,0,0,7,6,4,0,1,0,1,0,0,0,1,1,2,0,40,38,21,24,264,63,3,0,78,13,5,13,2,0,59,2,7,16,4,6,7,21,43,6,7,4,18,25,7,5,0,0,22,31,7,9,4,5,2,2,3,23,9,2,30,9,18,5,8
레니,6,85,177,19,4,8,215,12,2,109,2,82,25,6,15,37,28,12,1,8,193,8,4,11,12,0,8,10,3,19,6,7,8,4,383,277,16,4,7,273,8,75,377,11,2,12,2,0,1,0,0,10,0,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,4,0,4,1,0,0,0,6,2,0,3,2,3,1,6,1,0,0,183,0,62,2,96,0,65,3,7,0,35,0,7,1,4,7,4,1,0,1,1,0,1,2,0,2,3,0,3,0,8,0,1,0,0,0,0,0,11,1,1,0,3,1,4,0,33,0,14,3,8,5,4,1,29,0,0,2,4,2,1,4,3,11,4,5,101,8,3,104,5,8,0,2,42,38,0,0,3,5,111,108,1,2,38,56,10,13,4,0,14,16,45,0,2
로리스,3,36,289,49,6,7,300,6,5,209,3,134,79,5,15,17,22,16,1,10,329,9,6,33,12,3,13,12,15,50,17,13,9,6,766,434,16,1,13,420,15,34,485,9,1,20,1,0,1,0,0,16,1,0,0,2,0,4,3,0,0,3,0,0,0,1,0,0,0,0,11,0,2,3,0,0,0,12,1,0,9,0,4,1,14,10,0,0,418,4,206,4,164,4,19,0,10,0,106,3,11,0,13,11,9,0,1,10,1,6,4,0,0,1,0,0,13,0,6,0,2,0,0,0,0,0,24,0,8,0,8,4,2,9,10,6,3,46,0,4,10,41,21,20,12,6,7,4,14,3,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스텝,1,82,28,7,0,2,35,2,2,38,2,9,18,5,5,9,15,2,1,2,17,30,6,11,74,0,5,1,9,6,4,5,2,2,71,69,1,0,1,34,3,54,38,7,6,0,2,0,1,0,0,45,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,2,2,1,0,11,0,1,0,0,0,38,2,30,1,14,1,2,0,1,0,10,0,2,0,6,5,8,0,0,3,0,4,10,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,2,0,2,8,2,6,4,13,2,5,1,0,2,8,5,1,0,2,1,3,3,5,3,1,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매디,23,0,0,0,16,53,0,4,32,14,4,0,0,50,3,183,11,16,0,318,2,6,217,0,5,0,13,4,7,1,38,2,44,28,1,2,38,152,25,0,15,3,0,7,7,0,0,10,1,4,4,6,0,0,0,1,2,0,0,4,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,5,2,0,0,0,0,7,2,12,0,0,0,8,0,0,0,0,0,0,1,0,95,0,5,0,1,1,0,0,2,3,5,0,18,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,1,2,13,1,2,0,0,4,2,0,1,3,1,4,3,2,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
파우더,62,48,3,337,133,3,12,6,32,75,8,29,203,24,24,17,153,9,11,4,112,148,7,10,71,15,6,35,446,403,39,112,33,180,22,23,12,69,47,10,546,20,21,41,4,0,0,2,2,9,0,78,6,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,2,1,0,2,0,0,0,3,1,1,1,0,0,7,20,1,2,4,0,24,0,98,1,9,0,8,1,37,0,92,1,36,0,4,4,7,0,7,3,18,5,5,1,1,0,1,0,0,0,1,7,0,0,2,6,1,0,1,4,0,3,43,24,26,24,14,0,18,13,15,14,10,9,0,15,9,4,13,64,0,17,5,9,9,15,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
밴더,5,51,119,13,2,8,133,6,5,160,2,72,23,5,6,99,26,9,0,10,74,10,8,8,8,2,9,10,3,6,9,6,13,6,247,259,14,0,9,221,9,42,176,1,2,17,3,0,3,1,0,6,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,3,1,3,0,0,0,1,0,3,0,5,0,6,0,15,8,0,0,178,2,34,2,99,1,67,0,5,0,40,0,9,0,6,5,8,0,0,3,0,0,0,0,0,0,0,2,0,0,7,0,2,1,0,0,0,0,9,1,9,0,5,2,9,0,1,0,119,3,1,4,11,0,4,1,0,0,1,63,1,5,16,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
스카,3,36,233,18,2,5,315,2,4,174,1,213,26,6,14,353,19,7,3,6,156,1,8,11,16,1,11,21,7,14,17,4,18,7,407,352,12,1,5,538,16,25,332,4,1,28,3,0,0,0,0,7,0,0,0,1,0,1,4,1,0,1,0,1,0,0,0,0,0,0,3,0,3,1,0,0,0,4,0,1,3,0,2,1,16,7,0,0,133,0,113,3,196,1,32,0,12,0,131,1,6,1,1,5,2,2,0,2,0,0,5,0,0,1,25,1,0,0,12,0,0,0,1,0,0,0,12,4,29,1,5,8,9,7,2,3,0,6,5,1,91,3,81,4,0,2,3,1,14,6,9,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
누누와 윌럼프,1,42,196,48,5,22,216,12,11,338,8,196,83,14,18,26,29,14,8,10,86,24,16,40,24,6,23,40,24,35,22,27,17,12,565,583,19,1,16,377,14,60,276,7,3,15,1,0,0,0,0,67,1,0,1,3,0,2,4,1,0,3,0,0,0,0,0,0,0,0,11,0,2,1,0,1,0,7,0,0,4,0,29,0,7,4,1,0,293,3,176,3,130,4,36,0,11,0,108,0,16,1,23,33,17,0,0,8,0,6,9,1,0,2,0,1,2,0,1,0,1,0,0,0,0,0,23,1,4,2,8,14,60,36,0,6,6,8,9,7,11,5,3,0,2,32,0,30,10,13,3,23,6,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
징크스,5,1,0,0,4,54,1,4,8,10,0,0,1,57,5,40,22,3,0,230,0,6,75,0,0,0,12,5,0,0,76,0,49,6,0,1,17,287,12,0,4,0,0,1,0,0,0,12,1,9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,3,0,0,1,0,0,0,2,0,32,0,12,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,1,0,4,0,0,1,0,1,4,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
제리,24,7,0,0,5,106,0,0,25,12,1,0,1,57,2,1908,23,491,1,508,0,2,116,1,2,0,14,21,4,0,19,0,96,17,0,0,85,5,89,0,0,2,1,6,2,0,0,28,1,0,3,4,0,2,0,0,6,0,0,2,0,0,0,0,96,13,4,0,1,0,0,1,0,0,6,0,0,0,0,0,0,4,0,7,0,0,0,10,0,0,1,0,1,0,2,0,1,0,2,0,1,0,0,0,1,42,3,0,4,0,0,3,27,0,0,3,0,6,0,1,0,1,0,0,4,0,0,0,0,0,19,3,0,1,1,1,0,2,4,4,9,0,34,0,2,2,0,1,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
바이올렛,0,373,0,0,0,0,1,0,1,8,0,1,1,4,101,12,107,1,0,14,1,0,5,0,0,0,27,0,1,0,0,1,2,3,0,2,1,0,1,0,0,277,2,0,0,0,18,0,21,0,0,0,2,0,9,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,3,0,0,2,2,0,0,0,2,0,379,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,47,1,20,0,2,0,0,20,16,21,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,2,0,0,3,0,0,0,1,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
나미,13,2,6,2,20,2,4,24,45,147,3,5,1,113,11,111,23,55,20,17,3,359,15,0,166,1,18,132,60,2,77,138,153,44,7,5,13,493,400,4,31,7,6,24,6,0,0,2,2,7,9,9,2,3,0,2,4,0,0,1,1,0,20,0,10,3,0,9,0,6,2,7,0,0,0,17,35,0,0,15,0,0,3,24,0,0,9,6,3,0,4,0,10,1,6,0,92,6,170,7,232,7,0,1,10,7,14,2,23,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,3,0,1,0,0,14,3,143,1,0,2,2,30,2,13,3,5,2,0,8,9,9,1,1,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
코르키,516,14,6,33,294,799,5,18,150,124,3,4,1320,788,36,621,260,190,1,3531,3,20,1915,0,8,5,78,116,90,51,654,10,718,467,6,3,358,537,55,5,133,26,0,9,4,0,0,409,31,6,24,12,0,16,0,0,12,0,0,37,3,0,0,0,3,5,15,1,0,0,0,8,2,0,4,5,2,1,0,1,0,111,0,7,0,1,1,75,5,1,6,0,10,0,20,0,61,1,26,0,33,0,0,3,7,6,10,0,13,1,0,8,72,0,0,2,0,9,0,3,3,2,0,0,2,1,0,0,0,1,2,5,2,0,80,4,7,32,11,19,0,47,86,3,10,0,3,44,0,0,10,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
가렌,5,38,756,20,2,11,853,2,4,238,1,287,122,6,15,167,21,7,9,8,969,10,15,64,9,1,18,35,5,26,17,6,19,5,1743,1134,16,1,8,910,13,47,2434,73,1,77,3,0,4,0,1,41,0,0,0,6,0,7,13,0,0,0,1,0,1,0,0,0,0,0,59,0,3,4,1,0,1,59,0,0,76,0,14,0,1,28,0,0,523,13,172,5,467,13,77,1,18,1,139,0,15,0,34,7,49,0,0,35,3,17,2,2,0,0,0,0,28,1,19,0,5,0,0,0,0,0,50,3,25,1,5,4,77,5,15,6,332,5,10,6,159,0,39,37,3,1,2,8,15,36,5,18,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
벡스,6,2,0,0,2,2,3,8,15,51,0,1,1,48,2,29,5,24,5,6,4,70,3,1,48,0,4,54,7,0,27,23,51,6,1,1,3,94,92,0,6,4,2,11,2,0,0,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,5,0,1,3,2,1,0,1,0,6,0,4,1,16,0,18,0,43,1,0,0,2,2,4,1,8,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,10,1,0,1,0,1,0,0,1,2,1,1,3,0,0,1,0,1,1,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
녹턴,8,230,6,2,1,21,3,2,5,58,0,2,1,38,91,130,262,10,0,481,6,6,50,0,4,0,201,3,0,3,29,3,10,6,8,4,18,1,8,4,4,132,4,3,1,0,18,13,18,0,0,7,3,1,2,0,7,0,0,0,4,0,0,6,3,0,2,0,3,0,1,0,2,0,1,0,0,0,2,0,0,17,0,0,2,0,0,160,4,0,1,1,4,0,72,2,2,1,8,0,7,0,0,0,1,2,0,1,0,0,1,0,164,2,0,19,0,176,0,2,0,8,5,0,1,0,0,1,0,0,6,2,1,0,1,1,4,4,3,2,0,0,1,0,0,0,0,1,0,0,61,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
다리우스,5,94,18,9,4,9,16,4,10,51,1,12,4,8,11,8,33,1,3,4,13,3,7,6,7,0,5,3,1,4,10,3,5,4,63,31,4,1,2,138,7,42,42,5,0,2,6,0,1,0,0,9,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,1,1,0,2,0,1,1,0,0,23,1,6,0,25,1,39,0,5,0,11,0,2,0,1,5,1,0,0,2,0,0,3,0,0,2,1,0,0,0,3,0,2,0,10,0,0,0,6,0,0,0,0,7,5,3,2,38,2,1,2,0,4,0,1,2,0,3,1,41,1,22,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이렐리아,5,45,53,24,3,8,56,10,13,124,12,27,30,2,13,3,55,4,0,53,80,1,12,19,6,1,12,7,8,24,8,4,5,3,113,79,9,1,6,83,5,53,57,5,14,1,1,1,1,1,0,44,0,0,0,7,0,1,4,0,3,0,0,0,0,0,1,0,0,0,10,0,1,5,0,0,0,13,1,0,0,0,21,0,2,1,0,0,27,7,24,3,40,4,23,1,6,0,17,3,7,0,10,21,1,0,0,0,0,3,13,0,0,5,0,0,2,0,2,0,2,0,3,0,0,0,6,0,0,2,12,16,1,3,4,2,4,0,7,5,6,45,4,8,2,18,24,2,7,8,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
암베사,39,1316,25,11,16,69,35,44,58,419,1,25,19,118,973,149,936,50,1,319,34,20,183,4,27,0,217,25,5,9,121,19,70,24,56,32,68,9,40,23,18,920,39,10,3,2,59,11,67,1,1,43,6,2,44,4,5,0,5,4,29,2,0,83,7,1,4,2,5,0,2,3,35,2,1,1,2,3,12,2,0,7,0,2,19,3,0,4,76,7,25,3,38,1,861,37,32,2,34,0,33,2,1,2,9,1,2,5,2,6,1,0,5,71,6,40,0,8,0,0,11,41,50,0,2,1,0,5,1,0,3,7,5,1,19,4,11,21,399,0,135,3,16,9,0,45,0,117,6,14,9,14,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
자이라,7,4,4,3,8,4,5,4,53,47,4,1,2,45,5,61,24,36,13,2,1,207,10,4,158,1,8,172,51,2,38,79,85,20,5,1,7,250,77,1,26,8,9,10,8,0,0,4,0,4,5,9,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,1,2,0,0,1,6,10,0,1,1,1,0,3,24,0,0,7,1,2,0,4,0,3,0,4,0,76,0,83,2,106,1,1,1,1,6,14,0,36,2,4,1,2,0,5,1,0,0,0,1,0,0,0,2,1,1,1,1,0,3,37,14,76,1,0,0,0,4,5,3,1,5,1,2,1,76,9,11,1,0,11,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
갱플랭크,505,186,28,157,315,272,30,24,92,316,2,40,897,254,55,1595,211,59,3,1468,33,25,1114,13,18,19,76,132,138,227,227,16,580,556,88,71,142,481,80,36,291,154,42,21,11,1,1,102,18,11,9,41,0,8,5,0,4,1,3,22,4,6,0,4,28,5,5,2,0,0,7,13,1,2,0,5,3,5,2,0,1,38,6,27,6,0,1,23,91,6,41,1,28,4,180,1,84,2,61,0,45,0,3,2,15,12,12,15,16,3,3,4,16,3,0,7,1,14,0,1,2,6,2,1,4,0,2,0,2,4,15,16,14,5,143,14,25,8,48,221,7,7,62,15,18,404,11,0,0,15,15,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
레오나,1,37,251,36,1,7,225,2,3,181,7,160,55,6,12,18,14,10,0,9,395,7,8,20,10,1,12,7,5,27,14,13,17,2,434,374,15,1,7,327,6,36,332,0,0,5,2,0,0,0,0,17,0,0,3,6,0,5,10,0,0,2,0,0,0,0,0,0,0,0,9,0,3,2,0,1,0,12,0,0,6,0,17,0,6,6,0,0,233,8,172,4,230,2,44,0,8,0,113,0,9,0,11,22,2,0,0,1,2,3,5,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,17,0,4,0,3,4,7,0,5,5,6,33,10,5,8,0,0,6,0,21,8,4,3,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
코그모,10,5,2,0,8,4,4,0,36,15,0,1,1,83,8,1271,12,374,0,23,0,48,38,0,399,0,28,15,19,0,62,16,47,31,3,1,6,285,426,39,19,3,30,9,2,3,0,1,0,14,2,0,10,0,0,0,0,1,2,0,1,0,1,0,21,3,0,0,0,0,0,0,0,0,0,2,14,0,0,4,2,0,0,10,1,0,3,5,0,0,3,0,1,0,1,0,173,1,15,0,102,0,0,0,3,223,3,1,12,0,0,5,0,0,0,2,0,0,44,3,0,0,0,7,97,109,0,3,0,0,15,1,0,27,4,1,33,1,3,3,0,0,0,1,71,0,4,0,0,1,0,2,37,24,0,0,0,0,1,0,0,0,0,0,25,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
트위스티드 페이트,5,6,2,0,7,2,4,2,61,74,1,5,3,111,7,528,19,68,2,27,1,458,45,0,549,2,17,443,52,1,154,207,313,42,3,7,11,624,198,4,27,12,3,11,9,0,0,5,1,9,17,7,6,7,0,1,4,0,0,2,0,0,4,0,15,3,0,8,1,5,0,6,1,0,0,15,18,0,0,10,1,0,0,14,0,0,14,3,3,0,1,0,4,0,6,0,76,1,67,2,206,2,0,2,1,16,8,0,20,1,0,5,1,0,18,2,0,2,0,4,0,0,0,2,11,11,1,8,0,0,13,4,2,1,1,3,1,7,0,5,34,1,25,1,0,1,4,6,1,6,18,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
