,B.F. 대검,피바라기,덤불 조끼,쇠사슬 조끼,연습용 장갑,죽음의 검,용의 발톱,,전략가의 왕관,도적의 장갑,침묵의 장막,수호자의 맹세,거인의 허리띠,거인 학살자,밤의 끝자락,구인수의 격노검,정의의 손길,마법공학 총검,힘의 성배,무한의 대검,이온 충격기,보석 건틀릿,최후의 속삭임,강철의 솔라리 펜던트,대천사의 지팡이,뒤집개,수은,모렐로노미콘,쓸데없이 큰 지팡이,음전자 망토,방패파괴자,라바돈의 죽음모자,붉은 덩굴정령,곡궁,태양불꽃 망토,구원,루난의 허리케인,쇼진의 창,스태틱의 단검,가고일 돌갑옷,여신의 눈물,거인의 결의,워모그의 갑옷,지크의 전령,서풍,영혼의 형상,죽음의 저항,황금 징수의 총,무한한 삼위일체,마나자네,흑요석 양날 도끼,란두인의 예언,존야의 역설,의지파괴자,축복받은 피바라기,집단 충격기,악마 학살자,용의 의지,수호상 돌갑옷,영겁의 속삭임,공정의 주먹,철갑의 서약,눈부신 건틀릿,새벽의 서광,구인수의 심판,마법공학 생명검,빛나는 죽음의 검,엔젤로노미콘,반짝이는 수은,라바돈의 초월한 죽음모자,면죄,잉걸불 문장,장난꾸러기의 장갑,장미가시 조끼,루난의 폭풍,히라나의 창,스태틱의 호의,태양빛 망토,거인의 맹세,우르프 천사의 지팡이,워모그의 자부심,천공의 대검,즈롯 차원문,쓸데없이 큰 보석,선체분쇄자,속임수 거울,죽음불꽃 손아귀,저격수의 집중,저녁갑주,별의 균형,크라운가드,왕가의 방패,굳건한 심장,거석상의 유산,스테락의 도전,스테락의 초강력 보호막,푸른 파수꾼,푸른 축복,적응형 투구,해신 작쇼,내셔의 이빨,남작의 선물,군단의 방패,순교자의 미덕,밴시의 장막,도박꾼의 칼날,영원한 불꽃,기사의 맹세,월석 재생기,앙심,불안정한 보물 상자,승천의 부적,생선대가리,수상한 외투,지평선의 초점,방한 장갑,끝없는 절망,고속 연사포,활력증진의 펜던트,루덴의 폭풍,은빛 여명,자객의 발톱,망령 해적검,역병의 보석,마법사의 최후,리치베인,라이트실드 문장,추적자의 팔목 보호대,거물의 갑옷,프라이팬,전략가의 망토,전략가의 방패,검은 장미단 상징,화공 남작 상징,실험체 상징,가족 상징,점화단 상징,반군 상징,집행자 상징,정복자 상징,자동기계 상징,아카데미 상징,매복자 상징,난동꾼 상징,기동타격대 상징,포수 상징,선도자 상징,투사 상징,고물상 상징,마법사 상징,저격수 상징,감시자 상징,주시자 상징,지배자 상징,요동치는 화공 탱크,처형인의 사슬칼날,살점 찢개,필트오버 마법공학 갑옷,풀려난 독소,악성 바이러스,완벽한 처형인의 사슬칼날,완벽한 살점 찢개,완벽한 요동치는 화공 탱크,완벽한 필트오버 마법공학 갑옷,완벽한 풀려난 독소,완벽한 악성 바이러스,처형인의 사슬칼날 II,살점 찢개 II,요동치는 화공 탱크 II,필트오버 마법공학 갑옷 II,풀려난 독소 II,악성 바이러스 II,시머 꽃,시머 꽃 II,완벽한 시머 꽃,축전 사브르,축전 사브르 II,완벽한 축전 사브르,회수한 건틀릿,회수한 리볼버,회수한 기계 장치,압수됨!,휴대용 이상 현상
문도 박사,4,78,1057,25,5,10,1214,16,3,280,2,358,54,11,25,127,25,9,0,7,562,12,10,24,19,1,29,27,7,28,22,17,21,1,1372,1445,17,0,10,2068,4,60,1826,0,3,97,7,0,1,0,2,12,1,0,1,6,0,8,22,0,0,4,1,0,0,0,0,0,1,0,26,0,1,8,0,0,0,29,1,0,38,0,4,0,54,1,0,0,346,5,425,3,578,11,52,0,17,0,237,1,26,0,8,5,1,0,1,2,1,0,1,4,0,5,0,2,2,0,30,0,1,0,0,3,0,0,40,6,22,0,6,6,210,92,0,3,2,1,7,7,63,1,1,852,1,3,1,5,5,14,2,6,10,0,3,1,0,1,0,0,0,0,7,3,0,0,0,0,4,4,0,0,3,1,1,0,0,0,0,1,2,0,4
트위치,7,7,1,0,12,532,1,2,65,16,0,0,1,208,9,4815,46,113,0,2592,1,3,756,0,2,1,55,23,4,0,115,3,944,21,0,0,261,11,19,1,2,5,1,2,1,0,1,380,3,1,7,2,0,4,0,0,5,0,0,14,1,0,0,0,205,3,8,0,2,0,0,24,0,0,3,0,1,0,0,0,0,39,0,2,0,0,0,32,0,0,2,0,1,0,1,0,14,0,1,0,12,0,0,0,0,38,2,0,4,0,0,5,26,0,0,4,0,9,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,2,2,16,1,8,0,3,3,4,65,0,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
아칼리,5,141,6,4,11,2,8,2,10,91,3,7,8,25,39,19,184,23,4,6,38,151,4,8,9,1,20,7,15,3,31,25,6,8,14,7,6,2,18,6,8,87,9,6,4,0,7,0,7,0,0,21,13,1,4,2,1,1,2,2,4,1,4,0,0,1,1,0,1,0,1,1,11,1,1,0,1,0,3,1,3,0,2,0,3,1,2,0,13,0,44,2,14,1,9,0,14,1,9,0,15,1,2,4,2,1,0,1,0,2,2,0,0,0,0,2,1,1,0,3,0,0,7,0,3,0,0,7,0,0,3,1,3,0,0,2,1,0,9,0,59,1,0,0,0,0,3,1,1,1,2,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
세트,1,13,40,16,4,14,33,6,8,113,6,44,21,6,6,17,7,8,1,8,65,8,6,15,5,1,7,11,3,7,4,11,6,0,107,74,12,4,5,37,9,11,69,2,1,5,3,0,1,0,0,26,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,1,3,0,5,0,1,0,1,2,1,0,8,0,10,1,1,2,0,0,32,1,24,3,30,1,19,1,12,1,21,1,8,1,9,8,5,0,0,2,0,1,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,5,2,3,4,13,0,3,0,2,0,2,0,2,0,7,11,2,1,2,0,2,63,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
이즈리얼,60,17,6,3,20,239,5,10,80,131,3,2,5,188,20,347,76,85,11,727,5,29,463,1,15,5,23,82,10,3,164,8,242,70,6,15,285,314,350,6,19,13,9,50,9,0,0,43,4,2,11,21,1,1,0,0,0,0,0,10,1,0,0,0,5,1,4,1,1,0,0,1,0,0,3,3,11,0,0,0,0,12,3,42,0,0,1,7,6,0,3,0,14,0,21,0,58,0,33,0,85,0,0,1,18,14,14,7,55,2,0,0,9,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,2,15,5,3,3,19,3,2,0,7,15,1,0,11,0,9,0,10,3,2,7,7,406,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
일라오이,7,35,1488,57,2,3,1528,12,2,207,1,352,98,12,21,20,11,9,4,3,1049,10,9,13,7,0,15,18,2,29,13,8,14,4,1955,1048,6,0,14,2314,18,44,2513,2,1,126,6,0,0,0,0,9,1,0,1,8,0,10,29,0,0,4,0,0,0,0,0,0,0,0,21,0,5,10,0,0,0,41,0,1,48,1,12,0,54,9,0,0,313,4,463,5,785,10,33,1,15,0,214,2,8,0,9,5,4,0,0,1,1,2,0,2,0,1,0,1,1,0,20,0,3,0,0,1,0,0,92,4,24,0,3,5,4,9,6,2,12,0,35,2,11,194,15,14,8,11,21,4,92,26,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
드레이븐,11,1,0,0,1,46,0,2,31,18,4,0,1,49,9,540,25,18,1,146,0,2,219,0,2,0,19,2,1,0,26,2,36,13,2,1,46,5,25,0,1,2,2,18,11,0,0,19,3,0,4,8,1,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,2,0,21,0,0,1,7,2,0,2,0,0,0,0,0,3,0,2,0,6,0,0,2,0,4,6,1,17,0,0,3,20,0,0,1,0,4,0,0,0,0,0,0,2,2,1,0,0,0,25,1,1,3,5,114,1,4,3,0,0,0,2,0,4,2,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
렐,4,44,134,39,7,18,182,28,9,397,8,120,66,18,22,40,25,19,4,9,242,20,19,37,15,1,18,23,15,44,27,24,18,15,372,332,33,1,10,255,17,47,229,10,4,5,1,0,0,0,0,31,2,0,0,10,0,5,3,0,1,1,0,0,0,0,0,0,0,0,19,0,2,11,0,0,0,25,1,0,12,1,22,0,11,2,0,0,176,6,127,5,193,3,48,0,30,0,76,1,26,0,17,19,6,0,0,4,1,11,5,0,0,4,1,0,11,0,6,0,2,0,1,0,0,0,24,1,1,2,5,12,20,13,7,3,5,35,9,0,11,64,0,7,10,27,0,5,7,8,2,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
카시오페아,15,4,2,3,8,4,5,6,25,49,2,1,5,37,3,37,5,31,25,7,3,87,5,0,29,4,18,25,26,2,15,23,49,34,3,2,6,90,151,2,14,2,1,20,7,0,0,0,0,0,1,10,1,3,0,0,2,0,0,0,0,0,1,0,2,1,1,0,3,5,1,2,1,0,0,2,19,0,0,0,0,1,2,29,0,0,2,1,2,0,2,0,3,0,7,0,46,0,26,2,60,4,0,1,9,5,16,0,42,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,1,22,3,0,2,2,2,5,1,2,10,3,1,2,1,4,3,10,3,3,107,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
블라디미르,5,105,97,57,7,11,115,18,8,384,9,71,61,24,19,238,38,114,3,13,157,27,11,22,183,4,15,23,12,41,29,20,20,12,182,112,32,15,12,193,12,28,109,2,8,5,0,0,1,1,0,75,1,1,2,13,0,3,7,0,0,1,1,1,11,2,0,0,1,0,8,0,3,6,0,2,2,16,1,7,5,0,29,0,6,2,0,0,38,2,86,10,93,5,41,1,12,0,56,5,42,1,13,18,0,0,1,2,1,4,9,0,0,0,0,0,4,0,5,0,0,1,1,0,2,1,3,4,1,1,12,10,0,4,15,9,45,5,17,11,17,8,1,11,3,9,3,5,9,0,8,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
