weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
Frag Grenade,1,1.0,0.0,8.04,8.04,8.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,jH0BEf3IvX
Kar98k,2,0.5,0.0,58.34,58.34,58.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,jH0BEf3IvX
Frag Grenade,3,0.333,0.5,43.045,33.82,52.27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,nksal
AKM,48,0.083,0.6666666666666666,5.541666666666667,3.22,8.93,0.0,0.0,6.0,1.0,2.0,3.0,0.0,i_1104
AUG,45,0.111,0.0,52.42999999999999,48.49,54.64,1.0,0.0,1.0,1.0,1.0,1.0,0.0,ChaNing_19
QBZ95,25,0.08,0.0,5.48,5.42,5.54,0.0,0.0,0.0,1.0,1.0,0.0,0.0,ChaNing_19
Frag Grenade,4,0.5,0.0,27.74,7.9,47.58,0.0,0.0,0.0,0.0,0.0,0.0,2.0,zd4MNw3XIy
M24,12,0.333,0.0,75.83500000000001,56.22,93.54,3.0,0.0,1.0,0.0,0.0,0.0,0.0,zd4MNw3XIy
QBZ95,115,0.035,0.5555555555555556,32.785555555555554,26.57,51.21,2.0,0.0,4.0,2.0,1.0,0.0,0.0,zd4MNw3XIy
ACE32,19,0.263,0.0,20.152,11.97,25.82,0.0,0.0,3.0,1.0,0.0,1.0,0.0,hunhee_1
Beryl M762,38,0.184,0.4615384615384615,8.505384615384616,1.3,12.32,2.0,0.0,1.0,6.0,2.0,2.0,0.0,DaDaGuai0_
AKM,15,0.133,0.0,15.745,15.52,15.97,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4AM_XiaoBaiy
M416,30,0.067,0.0,47.29,45.73,48.85,0.0,0.0,1.0,0.0,1.0,0.0,0.0,ZJ6901512
AUG,77,0.052,0.0,13.59,9.1,18.01,1.0,0.0,1.0,1.0,1.0,0.0,0.0,Natsuwa9
M24,5,0.2,0.0,67.19,67.19,67.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Natsuwa9
AUG,30,0.3,0.0,38.15444444444445,35.95,41.08,1.0,0.0,2.0,3.0,2.0,1.0,0.0,Hertz-Blaze
AUG,49,0.143,0.5882352941176471,7.321764705882352,6.03,14.14,0.0,0.0,13.0,0.0,4.0,0.0,0.0,BAI-Qrui
Micro UZI,39,0.026,0.8888888888888888,3.611111111111111,2.45,10.3,0.0,0.0,5.0,1.0,3.0,0.0,0.0,Yuumi_0
Beryl M762,80,0.05,0.0,22.865,21.76,25.13,0.0,0.0,4.0,0.0,0.0,0.0,0.0,KimSomi-
Frag Grenade,3,0.667,0.0,55.055,54.03,56.08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,KimSomi-
M24,7,0.286,0.0,123.725,117.07,130.38,1.0,0.0,1.0,0.0,0.0,0.0,0.0,KimSomi-
M16A4,35,0.2,0.3636363636363636,9.047272727272729,3.44,14.48,4.0,0.0,1.0,5.0,0.0,1.0,0.0,e37zjr1i
MP5K,78,0.013,0.0,56.76,56.76,56.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,ioyukty
Frag Grenade,2,0.5,0.0,46.6,46.6,46.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,spider-mentomen
Beryl M762,109,0.147,0.36,32.8552,3.9,48.36,4.0,0.0,14.0,3.0,0.0,4.0,0.0,JDq-XY
Kar98k,4,0.25,0.0,144.51,144.51,144.51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,pljhmn233
AUG,172,0.07,0.0,39.001666666666665,25.41,52.78,2.0,0.0,4.0,4.0,0.0,2.0,0.0,Hee_mango
M24,2,0.5,0.5,43.16,43.04,43.28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Hee_mango
QBU,26,0.231,0.4545454545454545,85.13000000000001,55.29,137.24,1.0,0.0,4.0,3.0,2.0,1.0,0.0,Hee_mango
ACE32,59,0.085,0.0,83.982,71.33,89.41,0.0,0.0,2.0,1.0,1.0,1.0,0.0,XPC_FLY
M24,1,1.0,0.0,55.12,55.12,55.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,XPC_FLY
QBZ95,57,0.07,0.6666666666666666,22.62833333333333,3.3,72.39,0.0,0.0,10.0,2.0,0.0,0.0,0.0,KDKFA
Vector,14,0.214,0.0,11.783333333333331,11.73,11.88,0.0,0.0,3.0,0.0,0.0,0.0,0.0,H_bryant24
M416,34,0.147,0.1666666666666666,24.79833333333333,14.41,29.18,2.0,0.0,1.0,2.0,1.0,0.0,0.0,xiangxiangzz--
Beryl M762,5,0.0,1.0,21.5,21.47,21.53,0.0,0.0,1.0,0.0,0.0,1.0,0.0,i_got_it_please
QBU,26,0.192,0.6153846153846154,10.755384615384616,5.6,40.96,2.0,0.0,8.0,1.0,0.0,2.0,0.0,i_got_it_please
QBZ95,77,0.052,0.0,53.835,35.07,61.03,0.0,0.0,1.0,1.0,2.0,0.0,0.0,Wise_0_
Frag Grenade,1,1.0,0.5,36.06,33.64,38.48,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4nUmJQMfI
M24,2,0.5,0.5,55.03999999999999,44.73,65.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4nUmJQMfI
SKS,24,0.292,0.0,92.72428571428571,74.5,105.68,0.0,0.0,4.0,0.0,3.0,0.0,0.0,HE-baba86
ACE32,52,0.058,0.25,34.6225,16.79,40.79,1.0,0.0,2.0,0.0,0.0,1.0,0.0,coca-seoheee
AKM,8,0.25,0.6,41.6,41.07,41.99,0.0,0.0,2.0,1.0,0.0,2.0,0.0,coca-seoheee
Vector,17,0.059,0.0,3.18,3.18,3.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,coca-seoheee
M16A4,9,0.111,0.0,14.11,14.11,14.11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MXA_LiMing
ACE32,17,0.118,0.0,63.775,63.58,63.97,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Xxx_Seol
AKM,17,0.118,0.0,48.295,43.68,52.91,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Xxx_Seol
Frag Grenade,1,1.0,0.0,10.33,10.33,10.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Xxx_Seol
Vector,21,0.381,0.0,6.94875,6.46,7.56,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Xxx_Seol
M249,12,0.167,0.0,52.73,52.68,52.78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Axiafandjh
ACE32,42,0.024,0.0,54.35,54.35,54.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,JaredgAlsopcpa
Kar98k,12,0.25,0.0,127.81333333333332,74.64,211.5,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Aufang
M416,36,0.139,0.7368421052631579,2.2047368421052638,1.62,2.99,0.0,0.0,17.0,0.0,2.0,0.0,0.0,Aufang
ACE32,35,0.029,0.8,4.434,2.2,13.19,0.0,0.0,3.0,1.0,1.0,0.0,0.0,T--s---69
M249,45,0.267,0.5,5.49375,0.74,26.88,0.0,0.0,10.0,4.0,3.0,7.0,0.0,WangTieZhu2
ACE32,20,0.1,0.3333333333333333,37.97,37.94,38.03,0.0,0.0,3.0,0.0,0.0,0.0,0.0,cute_hyogun7177
ACE32,3,0.333,0.0,115.46,115.46,115.46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1JbHt8nZWP
AUG,56,0.179,0.1666666666666666,33.8075,16.29,53.06,2.0,0.0,7.0,1.0,1.0,1.0,0.0,1JbHt8nZWP
Micro UZI,167,0.12,0.375,11.8759375,3.04,41.7,0.0,0.0,21.0,8.0,1.0,2.0,0.0,1JbHt8nZWP
MP5K,42,0.071,0.625,8.16,6.27,18.58,1.0,0.0,7.0,0.0,0.0,0.0,0.0,handuner
AKM,126,0.143,0.1428571428571428,21.821428571428573,12.28,33.7,4.0,0.0,13.0,1.0,1.0,2.0,0.0,lPeQ08JXk
Frag Grenade,5,0.4,0.0,41.315,35.27,47.36,0.0,0.0,0.0,0.0,0.0,0.0,2.0,lPeQ08JXk
M24,2,0.5,0.5,120.215,97.31,143.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,lPeQ08JXk
Beryl M762,28,0.036,0.0,75.55,75.55,75.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,J-J20CM
AUG,58,0.086,0.7058823529411765,8.091764705882353,5.4,40.75,4.0,0.0,11.0,0.0,1.0,1.0,0.0,yangcunmilange
M16A4,11,0.273,0.0,67.08666666666666,62.78,69.55,0.0,0.0,2.0,0.0,1.0,0.0,0.0,oo_yo_
M416,16,0.062,0.0,23.36,23.36,23.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,oo_yo_
AKM,27,0.111,0.7857142857142857,3.67,3.46,3.81,0.0,0.0,10.0,0.0,2.0,2.0,0.0,ypc_carryu
Vector,30,0.2,0.0,6.156666666666666,4.51,11.07,0.0,0.0,1.0,1.0,1.0,3.0,0.0,ypc_carryu
AUG,50,0.14,0.2222222222222222,29.39333333333333,28.31,31.98,1.0,0.0,7.0,0.0,0.0,1.0,0.0,xihuanfengma123
M24,1,1.0,0.0,50.34,50.34,50.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,xihuanfengma123
Frag Grenade,6,0.333,0.0,31.195,16.22,46.17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,cjcx
M416,166,0.108,0.1818181818181818,42.74045454545455,23.71,53.48,5.0,0.0,11.0,1.0,1.0,4.0,0.0,cjcx
